country,Code,Year,lifeExp,gdpPercap,pop,continent
Malaysia,MYS,2017,5.64,11356.80531,31975812,Asia
Maldives,MDV,2017,3.78,10596.40352,472449,Asia
Mali,MLI,2017,8.2,11085.69394,19311356,Africa
Malta,MLT,2017,4.18,13187.2348,479507,Europe
Marshall Islands,MHL,2017,22.39,10889.71266,47204,Oceania
Mauritania,MRT,2017,6.4,11047.34316,4160018,Africa
Mauritius,MUS,2017,8.27,10855.90193,1294743,Africa
Mexico,MEX,2017,6.25,10225.16854,122839256,America
Micronesia (country),FSM,2017,23.41,10945.48924,110441,Oceania
Moldova,MDA,2017,12.37,10982.07894,3180515,Europe
Mongolia,MNG,2017,17.78,10744.13663,3096033,Asia
Montenegro,MNE,2017,14.86,10609.2603,632445,Europe
Morocco,MAR,2017,7.13,15514.6465,35528116,Africa
Mozambique,MOZ,2017,16.4,12524.22722,28569448,Africa
Myanmar,MMR,2017,3.79,10219.99453,52288344,Asia
Namibia,NAM,2017,13.72,11700.65648,2364540,Africa
Nepal,NPL,2017,12.38,12472.18734,28183424,Asia
Netherlands,NLD,2017,9.26,14630.99798,17207204,Europe
New Zealand,NZL,2017,10.75,16628.19949,4746253,Oceania
Nicaragua,NIC,2017,5.87,10380.45417,6480534,America
Niger,NER,2017,9.11,11900.91912,21737924,Africa
Nigeria,NGA,2017,7.35,11760.80593,193495904,Africa
North Korea,PRK,2017,9.86,11356.26805,25516318,Asia
North Macedonia,MKD,2017,7.87,10449.42844,2111982,Europe
Northern Mariana Islands,MNP,2017,17.85,10544.82733,50752,Oceania
Norway,NOR,2017,9.09,14812.097,5277396,Europe
Oman,OMN,2017,2.77,13078.36063,4541853,Asia
Pakistan,PAK,2017,8.91,11622.4137,216379648,Asia
Palestine,PSE,2017,2.84,15206.47332,4700954,Asia
Panama,PAN,2017,4.7,10197.97075,4096071,America
Papua New Guinea,PNG,2017,3.64,11140.96861,9114803,Oceania
Paraguay,PRY,2017,6.2,13642.60775,6355406,America
Peru,PER,2017,2.89,11645.44361,31605488,America
Philippines,PHL,2017,4.29,10510.85134,106738496,Asia
Poland,POL,2017,13.85,10299.08672,38532816,Europe
Portugal,PRT,2017,7.69,14054.6274,10307528,Europe
Puerto Rico,PRI,2017,5.51,12816.45043,3366407,America
Qatar,QAT,2017,4.14,12819.41692,2711764,Asia
Romania,ROU,2017,8.77,10316.65606,19698852,Europe
Russia,RUS,2017,22.91,11016.23827,145452544,Europe
Rwanda,RWA,2017,9.41,12363.50192,12230343,Africa
Saint Lucia,LCA,2017,6.6,12882.45357,177175,America
Saint Vincent and the Grenadines,VCT,2017,6.49,12901.23691,105568,America
Samoa,WSM,2017,13.42,10667.59046,207642,Oceania
Sao Tome and Principe,STP,2017,2.54,11087.10164,208050,Africa
Saudi Arabia,SAU,2017,4.32,13012.7688,34193120,Asia
Senegal,SEN,2017,12.55,11311.03953,15157793,Africa
Serbia,SRB,2017,12.59,10632.50479,7464882,Europe
Seychelles,SYC,2017,7.82,10239.90255,101828,Africa
Sierra Leone,SLE,2017,9.88,11623.79244,7677570,Africa
Singapore,SGP,2017,6.59,11207.10775,5764489,Asia
Slovakia,SVK,2017,10.04,10437.29514,5439418,Europe
Slovenia,SVN,2017,14.26,10798.85124,2098396,Europe
Solomon Islands,SLB,2017,25.21,11189.82222,643641,Oceania
Somalia,SOM,2017,12.81,12789.13535,14864224,Africa
South Africa,ZAF,2017,13.22,12327.10319,56641208,Africa
South Korea,KOR,2017,19.89,10882.56943,51511640,Asia
South Sudan,SSD,2017,8.55,12145.53463,10658230,Africa
Spain,ESP,2017,5.64,14767.59829,46584168,Europe
Sri Lanka,LKA,2017,19.28,10936.44746,21506816,Asia
Sudan,SDN,2017,5.8,15678.6446,40679820,Africa
Suriname,SUR,2017,24.97,13839.66525,587566,America
Sweden,SWE,2017,11.13,14347.68255,10058191,Europe
Switzerland,CHE,2017,9.73,13560.4768,8451688,Europe
Syria,SYR,2017,2.26,14188.62053,18983370,Asia
Taiwan,TWN,2017,13.34,10655.63298,23665028,Asia
Tajikistan,TJK,2017,5.71,10323.72433,8925529,Asia
Tanzania,TZA,2017,10.03,12156.72525,56267040,Africa
Thailand,THA,2017,8.64,11292.01494,70898208,Asia
Timor,TLS,2017,5.61,11380.60086,1243238,Asia
Togo,TGO,2017,12.25,11651.2674,7852799,Africa
Tonga,TON,2017,5.19,10594.75109,105430,Oceania
Trinidad and Tobago,TTO,2017,10.04,13231.81482,1478616,America
Tunisia,TUN,2017,3.33,14475.1053,11811441,Africa
Turkey,TUR,2017,2.81,13453.69395,82089824,Asia
Turkmenistan,TKM,2017,8.86,10129.05097,5968388,Asia
Uganda,UGA,2017,10.8,13237.1317,40127096,Africa
Ukraine,UKR,2017,27.75,11405.92897,44657260,Europe
United Arab Emirates,ARE,2017,5.35,11663.21784,9068297,Asia
United Kingdom,GBR,2017,7.18,13389.01902,66064808,Europe
United States,USA,2017,12.35,15779.57938,329791232,America
United States Virgin Islands,VIR,2017,6.22,12989.20817,101860,America
Uruguay,URY,2017,17.31,14451.27987,3422205,America
Uzbekistan,UZB,2017,11.78,10304.62899,31945680,Asia
Vanuatu,VUT,2017,19.77,11003.49488,290250,Oceania
Venezuela,VEN,2017,7.9,10627.9913,30563430,America
Vietnam,VNM,2017,8.1,9378.53663,94033048,Asia
Yemen,YEM,2017,5.97,15676.86144,30034386,Asia
Zambia,ZMB,2017,14.44,12083.58148,17298056,Africa
Zimbabwe,ZWE,2017,24.29,11263.75307,14751101,Africa
